trial_number,block_number,prior_face,gaze_face,target_location,congruency,response,correct,response_time
1,1,1,1,1,1,1,1,430
2,1,2,1,2,2,2,1,668
3,1,2,2,1,2,1,1,443
4,1,2,1,1,1,1,1,330
5,1,2,1,2,2,2,1,364
6,1,1,1,1,1,1,1,309
7,1,1,1,2,2,2,1,466
8,1,1,2,1,2,1,1,529
9,1,2,2,2,1,2,1,2075
10,1,1,2,2,1,2,1,561
11,1,1,1,1,1,1,1,649
12,1,1,2,1,2,1,1,807
13,1,2,2,2,1,2,1,497
14,1,1,2,2,1,2,1,532
15,1,2,2,2,1,2,1,532
16,1,1,2,1,2,1,1,584
17,1,2,2,1,2,1,1,493
18,1,2,1,1,1,1,1,585
19,1,2,1,2,2,2,1,669
20,1,1,1,2,2,2,1,572
21,1,1,2,2,1,2,1,483
22,1,2,2,1,2,1,1,571
23,1,2,1,1,1,1,1,467
24,1,1,1,2,2,2,1,515
